"","var_num","var_col","rho","MAE","RMSE","country","Col_1","name_1","Col_2","name_2","Col_3","name_3","Col_4","name_4"
"1",1,"ir",0.311520010322696,0.710357435782173,1.10758625312452,"Mexico",2,"ir(t-1)",NA,NA,NA,NA,NA,NA
"2",2,"ir, t2m",0.757638637032196,0.405180744159354,0.663272545587906,"Mexico",2,"ir(t-1)",5,"t2m(t-0)",NA,NA,NA,NA
"3",2,"ir, tp",0.705761300829091,0.442512795576497,0.720859466127614,"Mexico",2,"ir(t-1)",9,"tp(t-0)",NA,NA,NA,NA
"4",2,"ir, rh",0.676240545791537,0.44576200454485,0.753915124045629,"Mexico",2,"ir(t-1)",13,"rh(t-0)",NA,NA,NA,NA
"5",2,"ir, svpd",0.615183916880145,0.504029443595591,0.809103318748675,"Mexico",2,"ir(t-1)",20,"svpd(t-3)",NA,NA,NA,NA
"6",3,"ir, t2m, tp",0.775972737284221,0.38856782954213,0.640117568391348,"Mexico",2,"ir(t-1)",5,"t2m(t-0)",9,"tp(t-0)",NA,NA
"7",3,"ir, t2m, rh",0.767658595484876,0.392451804132225,0.651834949947809,"Mexico",2,"ir(t-1)",5,"t2m(t-0)",13,"rh(t-0)",NA,NA
"8",3,"ir, t2m, svpd",0.780956842957596,0.368125391087578,0.635965472562266,"Mexico",2,"ir(t-1)",5,"t2m(t-0)",17,"svpd(t-0)",NA,NA
"9",3,"ir, tp, rh",0.763546888396187,0.382334478999986,0.655574018480583,"Mexico",2,"ir(t-1)",9,"tp(t-0)",16,"rh(t-3)",NA,NA
"10",3,"ir, tp, svpd",0.773577777716345,0.37370895294069,0.642725893162259,"Mexico",2,"ir(t-1)",9,"tp(t-0)",18,"svpd(t-1)",NA,NA
"11",3,"ir, rh, svpd",0.74333715214671,0.410039739174796,0.677659353151099,"Mexico",2,"ir(t-1)",13,"rh(t-0)",18,"svpd(t-1)",NA,NA
"12",4,"ir, t2m, tp, rh",0.773897817904879,0.369721523362092,0.641989336784855,"Mexico",2,"ir(t-1)",5,"t2m(t-0)",9,"tp(t-0)",16,"rh(t-3)"
"13",4,"ir, t2m, tp, svpd",0.771469701535456,0.381669665155827,0.645834463018424,"Mexico",2,"ir(t-1)",5,"t2m(t-0)",9,"tp(t-0)",17,"svpd(t-0)"
"14",4,"ir, t2m, rh, svpd",0.78530117929595,0.361046156082166,0.630834549733062,"Mexico",2,"ir(t-1)",5,"t2m(t-0)",13,"rh(t-0)",17,"svpd(t-0)"
"15",4,"ir, tp, rh, svpd",0.769614499269224,0.390568835385924,0.648729149813775,"Mexico",2,"ir(t-1)",9,"tp(t-0)",15,"rh(t-2)",18,"svpd(t-1)"
"16",1,"ir",0.613453169660373,0.570201652683824,0.804682942619132,"Vietnam",2,"ir(t-1)",NA,NA,NA,NA,NA,NA
"17",2,"ir, t2m",0.721579870702798,0.48317226165603,0.693177871262494,"Vietnam",2,"ir(t-1)",6,"t2m(t-1)",NA,NA,NA,NA
"18",2,"ir, tp",0.78621342681657,0.443417620612431,0.615637685528131,"Vietnam",2,"ir(t-1)",9,"tp(t-0)",NA,NA,NA,NA
"19",2,"ir, rh",0.73060655727665,0.472763931598796,0.685376201691633,"Vietnam",2,"ir(t-1)",16,"rh(t-3)",NA,NA,NA,NA
"20",2,"ir, svpd",0.761333337381837,0.451090662784469,0.64689604993757,"Vietnam",2,"ir(t-1)",20,"svpd(t-3)",NA,NA,NA,NA
"21",3,"ir, t2m, tp",0.779467940193348,0.456240253878436,0.623859910452334,"Vietnam",2,"ir(t-1)",6,"t2m(t-1)",9,"tp(t-0)",NA,NA
"22",3,"ir, t2m, rh",0.793753998632144,0.445342859577424,0.604850072590159,"Vietnam",2,"ir(t-1)",6,"t2m(t-1)",16,"rh(t-3)",NA,NA
"23",3,"ir, t2m, svpd",0.772613113832811,0.453806485086694,0.630264690235621,"Vietnam",2,"ir(t-1)",6,"t2m(t-1)",17,"svpd(t-0)",NA,NA
"24",3,"ir, tp, rh",0.783391843027193,0.432019134728585,0.617894874263512,"Vietnam",2,"ir(t-1)",9,"tp(t-0)",16,"rh(t-3)",NA,NA
"25",3,"ir, tp, svpd",0.780676910986187,0.452568470861821,0.620758893701239,"Vietnam",2,"ir(t-1)",9,"tp(t-0)",20,"svpd(t-3)",NA,NA
"26",3,"ir, rh, svpd",0.819154536214082,0.405927861543275,0.569130547558467,"Vietnam",2,"ir(t-1)",13,"rh(t-0)",20,"svpd(t-3)",NA,NA
"27",4,"ir, t2m, tp, svpd",0.783326122756937,0.483645995346494,0.619358480028145,"Vietnam",2,"ir(t-1)",5,"t2m(t-0)",9,"tp(t-0)",20,"svpd(t-3)"
"28",4,"ir, t2m, rh, svpd",0.79151207350806,0.454926184521593,0.609947595618806,"Vietnam",2,"ir(t-1)",5,"t2m(t-0)",13,"rh(t-0)",20,"svpd(t-3)"
"29",4,"ir, t2m, tp, rh",0.780791419634425,0.457620731017987,0.619877417974699,"Vietnam",2,"ir(t-1)",6,"t2m(t-1)",9,"tp(t-0)",16,"rh(t-3)"
"30",4,"ir, tp, rh, svpd",0.792368531853934,0.433802510359264,0.609260223425419,"Vietnam",2,"ir(t-1)",11,"tp(t-2)",13,"rh(t-0)",20,"svpd(t-3)"
"31",1,"ir",0.446634831902848,0.54959100631609,1.03605525169129,"Laos",2,"ir(t-1)",NA,NA,NA,NA,NA,NA
"32",2,"ir, t2m",0.716100068957977,0.338969573179189,0.727189937959799,"Laos",2,"ir(t-1)",5,"t2m(t-0)",NA,NA,NA,NA
"33",2,"ir, tp",0.642794956403476,0.411487010884352,0.782200061707988,"Laos",2,"ir(t-1)",12,"tp(t-3)",NA,NA,NA,NA
"34",2,"ir, rh",0.670739310203433,0.371457560292209,0.760460565356944,"Laos",2,"ir(t-1)",16,"rh(t-3)",NA,NA,NA,NA
"35",2,"ir, svpd",0.710322577347316,0.34299534948742,0.718773140240983,"Laos",2,"ir(t-1)",20,"svpd(t-3)",NA,NA,NA,NA
"36",3,"ir, t2m, tp",0.742821938433462,0.33839054445352,0.703036850652232,"Laos",2,"ir(t-1)",5,"t2m(t-0)",12,"tp(t-3)",NA,NA
"37",3,"ir, t2m, rh",0.737456557700817,0.359052831328647,0.70725243940437,"Laos",2,"ir(t-1)",5,"t2m(t-0)",16,"rh(t-3)",NA,NA
"38",3,"ir, t2m, svpd",0.715835029323709,0.331892065935086,0.715171605437776,"Laos",2,"ir(t-1)",8,"t2m(t-3)",20,"svpd(t-3)",NA,NA
"39",3,"ir, tp, rh",0.727916035502656,0.353357382235653,0.727215357247925,"Laos",2,"ir(t-1)",11,"tp(t-2)",16,"rh(t-3)",NA,NA
"40",3,"ir, tp, svpd",0.733001688911688,0.326250229223643,0.702983568762893,"Laos",2,"ir(t-1)",12,"tp(t-3)",20,"svpd(t-3)",NA,NA
"41",3,"ir, rh, svpd",0.698215802669756,0.356614100220288,0.73138845519767,"Laos",2,"ir(t-1)",16,"rh(t-3)",20,"svpd(t-3)",NA,NA
"42",4,"ir, t2m, tp, rh",0.744631433918547,0.355285003799526,0.697156763076039,"Laos",2,"ir(t-1)",5,"t2m(t-0)",12,"tp(t-3)",16,"rh(t-3)"
"43",4,"ir, t2m, tp, svpd",0.72673436291596,0.335941922213286,0.705684960158371,"Laos",2,"ir(t-1)",7,"t2m(t-2)",12,"tp(t-3)",20,"svpd(t-3)"
"44",4,"ir, t2m, rh, svpd",0.721304444774189,0.34455632810104,0.707811386948041,"Laos",2,"ir(t-1)",7,"t2m(t-2)",16,"rh(t-3)",20,"svpd(t-3)"
"45",4,"ir, tp, rh, svpd",0.694164753014412,0.355363330413702,0.737159754360434,"Laos",2,"ir(t-1)",12,"tp(t-3)",16,"rh(t-3)",20,"svpd(t-3)"
"46",1,"ir",0.56306069508862,0.493520248222708,0.95201322960419,"Dominican Republic",2,"ir(t-1)",NA,NA,NA,NA,NA,NA
"47",2,"ir, t2m",0.868189304145756,0.29274003589806,0.517147464219417,"Dominican Republic",2,"ir(t-1)",5,"t2m(t-0)",NA,NA,NA,NA
"48",2,"ir, tp",0.818077555433654,0.321327207661853,0.591038657149707,"Dominican Republic",2,"ir(t-1)",9,"tp(t-0)",NA,NA,NA,NA
"49",2,"ir, rh",0.795815039591891,0.323057547829876,0.628668075115167,"Dominican Republic",2,"ir(t-1)",15,"rh(t-2)",NA,NA,NA,NA
"50",2,"ir, svpd",0.823010300381678,0.331029578894321,0.585150271921757,"Dominican Republic",2,"ir(t-1)",18,"svpd(t-1)",NA,NA,NA,NA
"51",3,"ir, t2m, tp",0.885495759102407,0.294632666447067,0.486568740091672,"Dominican Republic",2,"ir(t-1)",5,"t2m(t-0)",12,"tp(t-3)",NA,NA
"52",3,"ir, t2m, rh",0.857849291054944,0.317611309259517,0.532477433716455,"Dominican Republic",2,"ir(t-1)",5,"t2m(t-0)",14,"rh(t-1)",NA,NA
"53",3,"ir, t2m, svpd",0.834663573321742,0.321468686873635,0.566460562022775,"Dominican Republic",2,"ir(t-1)",5,"t2m(t-0)",18,"svpd(t-1)",NA,NA
"54",3,"ir, tp, rh",0.879950683781037,0.313590872401725,0.501372053357826,"Dominican Republic",2,"ir(t-1)",9,"tp(t-0)",14,"rh(t-1)",NA,NA
"55",3,"ir, tp, svpd",0.884466740306806,0.29371690874209,0.499929938845981,"Dominican Republic",2,"ir(t-1)",12,"tp(t-3)",18,"svpd(t-1)",NA,NA
"56",3,"ir, rh, svpd",0.831378601861673,0.303299717395676,0.579831647301233,"Dominican Republic",2,"ir(t-1)",15,"rh(t-2)",19,"svpd(t-2)",NA,NA
"57",4,"ir, t2m, tp, rh",0.875196587702184,0.331164089066514,0.505847788322493,"Dominican Republic",2,"ir(t-1)",5,"t2m(t-0)",9,"tp(t-0)",14,"rh(t-1)"
"58",4,"ir, t2m, tp, svpd",0.876170558228895,0.300920970394923,0.503982162994258,"Dominican Republic",2,"ir(t-1)",5,"t2m(t-0)",12,"tp(t-3)",18,"svpd(t-1)"
"59",4,"ir, t2m, rh, svpd",0.823282471604094,0.340428382138645,0.585178228014269,"Dominican Republic",2,"ir(t-1)",5,"t2m(t-0)",14,"rh(t-1)",18,"svpd(t-1)"
"60",4,"ir, tp, rh, svpd",0.864835818646079,0.344510533112434,0.531360134747033,"Dominican Republic",2,"ir(t-1)",9,"tp(t-0)",14,"rh(t-1)",18,"svpd(t-1)"
"61",1,"ir",0.382105281845947,0.554404904899696,1.00917371015518,"Jamaica",2,"ir(t-1)",NA,NA,NA,NA,NA,NA
"62",2,"ir, t2m",0.31514172348633,0.542787554719446,1.00489183040045,"Jamaica",2,"ir(t-1)",7,"t2m(t-2)",NA,NA,NA,NA
"63",2,"ir, tp",0.278505899621194,0.537764800684065,1.0083102321555,"Jamaica",2,"ir(t-1)",11,"tp(t-2)",NA,NA,NA,NA
"64",2,"ir, rh",0.317813085525965,0.545587832112563,1.0014313657777,"Jamaica",2,"ir(t-1)",16,"rh(t-3)",NA,NA,NA,NA
"65",2,"ir, svpd",0.252927975928321,0.561105166229038,1.0662049708749,"Jamaica",2,"ir(t-1)",20,"svpd(t-3)",NA,NA,NA,NA
"66",3,"ir, t2m, tp",0.402804071614394,0.524808259073368,0.940346482729467,"Jamaica",2,"ir(t-1)",7,"t2m(t-2)",10,"tp(t-1)",NA,NA
"67",3,"ir, t2m, rh",0.34866160703719,0.537890407811397,0.973252291894319,"Jamaica",2,"ir(t-1)",7,"t2m(t-2)",15,"rh(t-2)",NA,NA
"68",3,"ir, t2m, svpd",0.362385070926411,0.527283890370255,0.964332717424076,"Jamaica",2,"ir(t-1)",7,"t2m(t-2)",19,"svpd(t-2)",NA,NA
"69",3,"ir, tp, rh",0.332798616092027,0.55109873709698,0.977258566697597,"Jamaica",2,"ir(t-1)",10,"tp(t-1)",15,"rh(t-2)",NA,NA
"70",3,"ir, tp, svpd",0.354133818542125,0.537452380975545,0.964128246269319,"Jamaica",2,"ir(t-1)",10,"tp(t-1)",18,"svpd(t-1)",NA,NA
"71",3,"ir, rh, svpd",0.299470757469633,0.553478410595681,1.00487668482407,"Jamaica",2,"ir(t-1)",16,"rh(t-3)",20,"svpd(t-3)",NA,NA
"72",4,"ir, t2m, tp, rh",0.38447272838304,0.544336061373426,0.947975954070945,"Jamaica",2,"ir(t-1)",7,"t2m(t-2)",10,"tp(t-1)",15,"rh(t-2)"
"73",4,"ir, t2m, tp, svpd",0.420309070828598,0.525487649369732,0.92776927382355,"Jamaica",2,"ir(t-1)",7,"t2m(t-2)",10,"tp(t-1)",19,"svpd(t-2)"
"74",4,"ir, t2m, rh, svpd",0.368376272871643,0.516686007101045,0.959398455290732,"Jamaica",2,"ir(t-1)",7,"t2m(t-2)",15,"rh(t-2)",19,"svpd(t-2)"
"75",4,"ir, tp, rh, svpd",0.346967633661031,0.553826269455418,0.962529932684849,"Jamaica",2,"ir(t-1)",10,"tp(t-1)",14,"rh(t-1)",18,"svpd(t-1)"
"76",1,"ir",0.370685464035979,0.600205071314455,1.05621855298263,"Belize",2,"ir(t-1)",NA,NA,NA,NA,NA,NA
"77",2,"ir, t2m",0.651774576048995,0.481245546492062,0.775109302301688,"Belize",2,"ir(t-1)",5,"t2m(t-0)",NA,NA,NA,NA
"78",2,"ir, tp",0.574121827705755,0.51958299400473,0.840547110742503,"Belize",2,"ir(t-1)",9,"tp(t-0)",NA,NA,NA,NA
"79",2,"ir, rh",0.556333437279843,0.51059158304829,0.853517788689263,"Belize",2,"ir(t-1)",16,"rh(t-3)",NA,NA,NA,NA
"80",2,"ir, svpd",0.669357846822767,0.4401247003189,0.757822892694231,"Belize",2,"ir(t-1)",19,"svpd(t-2)",NA,NA,NA,NA
"81",3,"ir, t2m, tp",0.70210840425748,0.463638720377318,0.724478105798662,"Belize",2,"ir(t-1)",5,"t2m(t-0)",10,"tp(t-1)",NA,NA
"82",3,"ir, t2m, svpd",0.743931908259165,0.429492986017088,0.693310810876505,"Belize",2,"ir(t-1)",5,"t2m(t-0)",19,"svpd(t-2)",NA,NA
"83",3,"ir, t2m, rh",0.711987431076603,0.420276705506101,0.719411871953923,"Belize",2,"ir(t-1)",6,"t2m(t-1)",16,"rh(t-3)",NA,NA
"84",3,"ir, tp, svpd",0.735433651561248,0.421739145655158,0.696163914340561,"Belize",2,"ir(t-1)",9,"tp(t-0)",20,"svpd(t-3)",NA,NA
"85",3,"ir, tp, rh",0.681671724956692,0.463706141866811,0.750756247673626,"Belize",2,"ir(t-1)",10,"tp(t-1)",16,"rh(t-3)",NA,NA
"86",3,"ir, rh, svpd",0.737375489084009,0.412524177730918,0.705405868533667,"Belize",2,"ir(t-1)",14,"rh(t-1)",20,"svpd(t-3)",NA,NA
"87",4,"ir, t2m, tp, svpd",0.77866309786274,0.411032523822471,0.669116136768645,"Belize",2,"ir(t-1)",5,"t2m(t-0)",9,"tp(t-0)",20,"svpd(t-3)"
"88",4,"ir, t2m, tp, rh",0.729160912723522,0.429690036011931,0.707334579637928,"Belize",2,"ir(t-1)",6,"t2m(t-1)",10,"tp(t-1)",16,"rh(t-3)"
"89",4,"ir, t2m, rh, svpd",0.798260898407215,0.387032424853263,0.644107153477662,"Belize",2,"ir(t-1)",6,"t2m(t-1)",14,"rh(t-1)",20,"svpd(t-3)"
"90",4,"ir, tp, rh, svpd",0.797172633659109,0.401331596348825,0.647706325520717,"Belize",2,"ir(t-1)",11,"tp(t-2)",14,"rh(t-1)",20,"svpd(t-3)"
"91",1,"ir",0.348497592241818,0.767407707385388,1.03678657322142,"Thailand",2,"ir(t-1)",NA,NA,NA,NA,NA,NA
"92",2,"ir, t2m",0.764845128911695,0.428422241744382,0.646162918969275,"Thailand",2,"ir(t-1)",6,"t2m(t-1)",NA,NA,NA,NA
"93",2,"ir, tp",0.773794378776677,0.437075996493651,0.628205894199335,"Thailand",2,"ir(t-1)",12,"tp(t-3)",NA,NA,NA,NA
"94",2,"ir, rh",0.69849387294837,0.505911106633777,0.718729982466446,"Thailand",2,"ir(t-1)",16,"rh(t-3)",NA,NA,NA,NA
"95",2,"ir, svpd",0.704766056779277,0.519553226025551,0.707742956842388,"Thailand",2,"ir(t-1)",20,"svpd(t-3)",NA,NA,NA,NA
"96",3,"ir, t2m, tp",0.823999057730173,0.394482673588897,0.56339955156518,"Thailand",2,"ir(t-1)",6,"t2m(t-1)",9,"tp(t-0)",NA,NA
"97",3,"ir, t2m, rh",0.845951854029299,0.364443647696364,0.531645531548061,"Thailand",2,"ir(t-1)",6,"t2m(t-1)",16,"rh(t-3)",NA,NA
"98",3,"ir, t2m, svpd",0.796522329455136,0.424789840182702,0.599402341138807,"Thailand",2,"ir(t-1)",6,"t2m(t-1)",20,"svpd(t-3)",NA,NA
"99",3,"ir, tp, rh",0.836392678702024,0.390399839037064,0.543365754104259,"Thailand",2,"ir(t-1)",9,"tp(t-0)",16,"rh(t-3)",NA,NA
"100",3,"ir, tp, svpd",0.824212272336544,0.413783028789257,0.563443578620207,"Thailand",2,"ir(t-1)",9,"tp(t-0)",18,"svpd(t-1)",NA,NA
"101",3,"ir, rh, svpd",0.794192528449723,0.431793073255365,0.602475582291938,"Thailand",2,"ir(t-1)",14,"rh(t-1)",20,"svpd(t-3)",NA,NA
"102",4,"ir, t2m, tp, rh",0.854345030074338,0.390119081551758,0.524430338236105,"Thailand",2,"ir(t-1)",5,"t2m(t-0)",9,"tp(t-0)",14,"rh(t-1)"
"103",4,"ir, t2m, tp, svpd",0.837785550629709,0.387244570375812,0.542685821830636,"Thailand",2,"ir(t-1)",5,"t2m(t-0)",9,"tp(t-0)",20,"svpd(t-3)"
"104",4,"ir, t2m, rh, svpd",0.821149175563621,0.398368203206056,0.567495260711812,"Thailand",2,"ir(t-1)",6,"t2m(t-1)",16,"rh(t-3)",17,"svpd(t-0)"
"105",4,"ir, tp, rh, svpd",0.851072121603839,0.387079642026778,0.52236028247322,"Thailand",2,"ir(t-1)",9,"tp(t-0)",15,"rh(t-2)",20,"svpd(t-3)"
"106",1,"ir",0.405696945492759,0.515253157334599,0.960768104188798,"Guatemala",2,"ir(t-1)",NA,NA,NA,NA,NA,NA
"107",2,"ir, t2m",0.608987773932058,0.446805721707461,0.809020322463165,"Guatemala",2,"ir(t-1)",6,"t2m(t-1)",NA,NA,NA,NA
"108",2,"ir, tp",0.522825192537672,0.48925323361056,0.870679779219911,"Guatemala",2,"ir(t-1)",12,"tp(t-3)",NA,NA,NA,NA
"109",2,"ir, rh",0.502902697297131,0.481889661526646,0.887959258000306,"Guatemala",2,"ir(t-1)",16,"rh(t-3)",NA,NA,NA,NA
"110",2,"ir, svpd",0.596888732926309,0.42892277220061,0.828546450070001,"Guatemala",2,"ir(t-1)",20,"svpd(t-3)",NA,NA,NA,NA
"111",3,"ir, t2m, rh",0.623898682204063,0.426354852054742,0.810389170803035,"Guatemala",2,"ir(t-1)",5,"t2m(t-0)",13,"rh(t-0)",NA,NA
"112",3,"ir, t2m, tp",0.662332839409491,0.427345478510906,0.781956407019094,"Guatemala",2,"ir(t-1)",6,"t2m(t-1)",10,"tp(t-1)",NA,NA
"113",3,"ir, t2m, svpd",0.695069432326,0.42100236499713,0.754801846040892,"Guatemala",2,"ir(t-1)",6,"t2m(t-1)",20,"svpd(t-3)",NA,NA
"114",3,"ir, tp, rh",0.576616007686514,0.45322946704981,0.841647833918411,"Guatemala",2,"ir(t-1)",10,"tp(t-1)",16,"rh(t-3)",NA,NA
"115",3,"ir, tp, svpd",0.628524982771707,0.426368785963139,0.808169009237829,"Guatemala",2,"ir(t-1)",10,"tp(t-1)",20,"svpd(t-3)",NA,NA
"116",3,"ir, rh, svpd",0.644468151349273,0.428138515078203,0.793188679865523,"Guatemala",2,"ir(t-1)",13,"rh(t-0)",20,"svpd(t-3)",NA,NA
"117",4,"ir, t2m, tp, rh",0.686319904470616,0.419565045342725,0.764549678347401,"Guatemala",2,"ir(t-1)",5,"t2m(t-0)",10,"tp(t-1)",13,"rh(t-0)"
"118",4,"ir, t2m, tp, svpd",0.683763619248193,0.419113547896321,0.767048301335318,"Guatemala",2,"ir(t-1)",5,"t2m(t-0)",10,"tp(t-1)",17,"svpd(t-0)"
"119",4,"ir, t2m, rh, svpd",0.687812011386689,0.416221151209805,0.771819047697925,"Guatemala",2,"ir(t-1)",5,"t2m(t-0)",13,"rh(t-0)",20,"svpd(t-3)"
"120",4,"ir, tp, rh, svpd",0.614255585523481,0.453401689941409,0.815588490627154,"Guatemala",2,"ir(t-1)",10,"tp(t-1)",13,"rh(t-0)",20,"svpd(t-3)"
